,X,Y
1580,52976,9840
1581,54768,9840
1582,55024,9840
1583,55792,9840
1584,56816,9840
1585,58096,9840
1586,58352,9840
1587,58608,9840
1588,58864,9840
1589,59120,9840
1590,59376,9840
1591,59632,9840
1592,60656,9840
1593,60912,9840
1594,61424,9840
1595,62192,9840
1596,62960,9840
1597,63216,9840
1598,64240,9840
1599,64496,9840
1600,64752,9840
1601,65008,9840
1602,65520,9840
1603,65776,9840
1604,66288,9840
1605,66544,9840
1606,67056,9840
1607,67568,9840
1608,68080,9840
1609,68848,9840
1610,69360,9840
1611,72852,9856
1612,73108,9856
1613,73364,9856
1614,73620,9856
1615,74900,9856
1616,76692,9856
1617,76948,9856
1618,77204,9856
1619,26593,9857
1620,26849,9857
1621,27617,9857
1622,27873,9857
1623,28129,9857
1624,28385,9857
1625,28641,9857
1626,29153,9857
1627,29921,9857
1628,30689,9857
1629,30945,9857
1630,31201,9857
1631,31713,9857
1632,31969,9857
1633,41712,10096
1634,44016,10096
1635,44272,10096
1636,44784,10096
1637,45040,10096
1638,46576,10096
1639,47088,10096
1640,47856,10096
1641,49136,10096
1642,49392,10096
1643,49648,10096
1644,49904,10096
1645,50160,10096
1646,50416,10096
1647,50928,10096
1648,51184,10096
1649,51440,10096
1650,52720,10096
1651,52976,10096
1652,53232,10096
1653,54768,10096
1654,55280,10096
1655,56048,10096
1656,56304,10096
1657,57072,10096
1658,58096,10096
1659,58352,10096
1660,58864,10096
1661,59376,10096
1662,59632,10096
1663,59888,10096
1664,60144,10096
1665,60400,10096
1666,60912,10096
1667,61168,10096
