X,Y
70640,12912
71152,12912
72688,12912
72944,12912
73200,12912
73456,12912
75504,12912
77296,12912
77552,12912
78064,12912
78320,12912
78576,12912
80112,12912
81136,12912
82416,12912
82672,12912
83696,12912
83952,12912
84720,12912
41712,13168
42480,13168
44272,13168
46320,13168
46832,13168
50416,13168
53232,13168
54000,13168
60400,13168
62448,13168
63472,13168
63728,13168
63984,13168
66800,13168
67824,13168
68080,13168
69104,13168
69616,13168
71408,13168
71664,13168
74736,13168
76784,13168
78064,13168
78576,13168
79088,13168
79344,13168
79600,13168
80112,13168
81136,13168
81648,13168
82928,13168
84208,13168
84720,13168
85488,13168
85744,13168
39664,13424
41456,13424
41968,13424
42736,13424
43504,13424
44784,13424
48624,13424
49392,13424
51184,13424
52464,13424
53744,13424
54512,13424
55024,13424
57072,13424
58864,13424
59120,13424
59632,13424
60144,13424
62704,13424
63216,13424
63728,13424
65008,13424
65264,13424
65520,13424
66288,13424
67312,13424
69872,13424
70128,13424
73456,13424
73712,13424
73968,13424
74224,13424
77040,13424
78832,13424
79088,13424
79856,13424
81904,13424
83696,13424
84464,13424
85488,13424
39920,13680
41968,13680
42224,13680
42992,13680
44016,13680
44272,13680
44528,13680
48368,13680
48880,13680
49392,13680
51184,13680
51696,13680
54512,13680
55024,13680
55280,13680
56048,13680
58608,13680
59888,13680
60912,13680
61936,13680
62192,13680
62960,13680
65008,13680
65520,13680
66032,13680
66288,13680
67056,13680
68848,13680
70384,13680
70896,13680
74480,13680
76272,13680
76528,13680
77552,13680
78576,13680
78832,13680
79088,13680
79856,13680
80368,13680
80624,13680
80880,13680
82416,13680
85488,13680
85744,13680
86000,13680
39664,13936
41968,13936
42992,13936
43248,13936
43504,13936
43760,13936
44016,13936
44272,13936
45552,13936
47088,13936
48880,13936
55792,13936
56816,13936
61424,13936
62960,13936
63472,13936
66288,13936
70896,13936
71152,13936
71920,13936
73200,13936
73456,13936
74224,13936
74736,13936
74992,13936
80624,13936
82160,13936
83184,13936
83952,13936
85232,13936
39664,14192
40944,14192
41456,14192
43248,14192
43504,14192
44272,14192
46320,14192
47856,14192
48112,14192
50928,14192
51440,14192
52208,14192
52464,14192
52720,14192
58864,14192
59376,14192
59888,14192
60144,14192
62448,14192
63472,14192
64240,14192
64752,14192
67056,14192
67824,14192
69616,14192
70128,14192
70384,14192
